"Origen","As","Cr","Cu","Fe","Mn","Mo","Ni","Pd","Rb","V","Y"
"AR",1.514,46.891,56.937,163.537,88.338,0.921,1.475,0.478,24.346,3.324,0.223
"AR",0.543,41.403,2.733,172.134,8.749,0.487,1.063,0.245,12.120,1.661,0.150
"AR",10.270,44.996,47.616,78.824,51.797,3.524,1.072,0.220,17.335,2.422,0.068
"AR",0.839,51.334,50.582,68.341,69.823,0.856,0.910,0.179,24.547,4.127,0.067
"AR",0.934,43.489,44.298,75.962,14.509,0.000,0.431,0.140,48.500,0.448,0.000
"AR",0.819,40.930,39.778,49.064,44.687,0.479,0.970,0.160,17.500,1.618,0.185
"AR",1.377,41.586,9.036,143.046,62.687,0.713,1.796,0.155,16.564,5.541,0.301
"AR",0.838,38.231,7.602,200.549,14.740,0.543,0.865,0.190,9.576,0.288,0.071
"AR",0.413,41.220,44.300,118.891,64.526,0.000,0.507,0.124,71.388,0.116,0.000
"AR",1.036,41.114,6.295,179.365,22.503,0.845,1.064,0.496,11.714,0.274,0.128
"AR",0.829,49.492,48.059,47.725,43.132,0.000,0.577,0.197,27.262,0.061,0.059
"AR",0.879,39.764,9.958,206.153,15.222,0.529,1.056,0.183,10.032,0.303,0.069
"AR",1.207,48.488,8.895,125.180,5.430,0.518,0.649,0.155,7.098,0.237,0.247
"AR",0.222,23.301,20.819,35.483,3.480,0.000,1.090,0.120,9.235,0.788,0.000
"AR",0.187,24.933,13.127,35.715,3.385,0.000,0.683,0.101,10.531,0.190,0.000
"AR",0.669,42.810,1.678,227.224,31.093,0.437,2.287,0.144,15.793,0.596,0.171
"CH",0.271,5.798,0.605,32.445,36.486,0.870,1.344,0.340,14.107,0.690,0.138
"CH",0.183,5.670,0.940,24.820,28.307,0.000,0.817,0.180,13.517,0.491,0.089
"CH",0.064,29.683,19.282,19.930,27.363,0.000,0.662,0.141,78.771,0.000,0.000
"CH",0.293,12.492,3.441,68.941,12.694,0.000,1.333,0.129,5.306,0.510,0.000
"BR",0.398,36.682,8.768,139.253,127.781,0.474,3.262,0.123,236.547,3.620,0.090
"BR",0.133,23.217,3.140,22.364,7.894,0.000,0.430,0.100,14.425,0.204,0.000
"BR",0.164,27.564,29.413,39.929,46.827,0.630,1.228,0.236,48.761,0.586,0.000
"BR",0.103,7.377,20.262,27.388,30.807,0.000,0.943,0.142,45.281,0.379,0.000
"BR",1.632,26.958,29.354,39.377,38.480,0.634,1.790,0.096,45.601,0.678,0.000
